d_date_id,Numerator,d_level0_id,Denominator,d_kpi_id,d_level1_id,d_level2_id
20210805,150269206.03,1,0,22,1,1
20210806,155727255.87,1,0,22,1,1
20210807,158658675.47,1,0,22,1,1
20210808,149795684.03,1,0,22,1,1
20210809,156808956.76,1,0,22,1,1
20210810,159383774.14,1,0,22,1,1
20210811,168248782.11,1,0,22,1,1
20210812,159741882.9,1,0,22,1,1
20210813,177845838.76,1,0,22,1,1
20210814,180898927.74,1,0,22,1,1
20210815,181818057.54,1,0,22,1,1
20210816,183682074.23,1,0,22,1,1
20210817,169431649.62,1,0,22,1,1
20210818,170532560.16,1,0,22,1,1
20210819,180615727.58,1,0,22,1,1
20210820,201798484.32,1,0,22,1,1
20210821,199869397.53,1,0,22,1,1
20210822,209877216.6,1,0,22,1,1
20210823,214023968.77,1,0,22,1,1
20210824,194106389.43,1,0,22,1,1
20210825,193934096.23,1,0,22,1,1
20210826,159679115.17,1,0,22,1,1
20210827,163739098.84,1,0,22,1,1
20210828,164465521.57,1,0,22,1,1
20210829,169916441.97,1,0,22,1,1
20210830,162079882.27,1,0,22,1,1
20210831,146078270.69,1,0,22,1,1
20210901,145960463.32,1,0,22,1,1
20210902,141214712.9,1,0,22,1,1
20210903,149165473.77,1,0,22,1,1
20210904,159614324.24,1,0,22,1,1
20210905,170329646.09,1,0,22,1,1
20210906,170624250.93,1,0,22,1,1
20210907,135078135.65,1,0,22,1,1
20210908,136566561.05,1,0,22,1,1
20210909,153918122.2,1,0,22,1,1
20210910,162951514.53,1,0,22,1,1
20210911,157444545.86,1,0,22,1,1
20210912,154287982.81,1,0,22,1,1
20210913,166599414.91,1,0,22,1,1
20210914,341268838.65999997,1,0,22,1,1
20210915,353324313.37,1,0,22,1,1
20210916,336488185.44,1,0,22,1,1
20210917,309624255.91999996,1,0,22,1,1
20210918,321691715.12,1,0,22,1,1
20210919,303241054.68,1,0,22,1,1
20210920,285542284.77,1,0,22,1,1
20210921,252411578.66,1,0,22,1,1
20210922,281865214.9,1,0,22,1,1
20210923,286940155.55,1,0,22,1,1
20210924,269680399.84,1,0,22,1,1
20210925,257527016.29,1,0,22,1,1
20210926,284025654.53,1,0,22,1,1
20210927,266937279.66,1,0,22,1,1
20210928,248722876.82,1,0,22,1,1
20210929,249314174.26,1,0,22,1,1
20210930,263544293.91000003,1,0,22,1,1
20211001,319893724.54999995,1,0,22,1,1
20211002,323207249.54999995,1,0,22,1,1
20211003,351116379.67,1,0,22,1,1
20211004,351468990.78,1,0,22,1,1
20211005,368635428.18,1,0,22,1,1
20211006,358427752.49,1,0,22,1,1
20211007,347078259.45000005,1,0,22,1,1
20211008,346558540.7,1,0,22,1,1
20211009,338355127.4,1,0,22,1,1
20211010,341050578.06,1,0,22,1,1
20211011,332979591.42,1,0,22,1,1
20211012,329359785.09000003,1,0,22,1,1
20211013,318110483.2,1,0,22,1,1
20211014,317953618.5,1,0,22,1,1
20211015,307616104.01,1,0,22,1,1
20211016,294962209.49,1,0,22,1,1
20211017,288054261.07,1,0,22,1,1
20211018,289840194.17,1,0,22,1,1
20211019,303634177.40999997,1,0,22,1,1
20211020,303174999.76,1,0,22,1,1
20211021,305910829.66,1,0,22,1,1
20211022,293628936.16999996,1,0,22,1,1
20211023,294828121.57,1,0,22,1,1
20211024,289787461.47,1,0,22,1,1
20211025,296624099.8,1,0,22,1,1
20211026,300469568.28,1,0,22,1,1
20211027,290669661.3,1,0,22,1,1
20211028,257483190.42,1,0,22,1,1
20211029,281735872.28999996,1,0,22,1,1
20211030,290990957.15,1,0,22,1,1
20211031,298843976.94,1,0,22,1,1
20211101,323636926.58000004,1,0,22,1,1
20211102,321117265.95000005,1,0,22,1,1
20211103,324309367.4,1,0,22,1,1
20211104,300556668.51,1,0,22,1,1
20211105,293297389.94,1,0,22,1,1
20211106,287053183.17,1,0,22,1,1
20211107,281184352.94,1,0,22,1,1
20211108,274108583.58,1,0,22,1,1
20211109,298879435.78999996,1,0,22,1,1
20211110,288099452.39,1,0,22,1,1
20211111,273340356.94,1,0,22,1,1
20211112,282817456.99,1,0,22,1,1
20211113,299638331.7,1,0,22,1,1
20211114,305327652.92,1,0,22,1,1
20211115,324079492.68,1,0,22,1,1
20211116,323011065.34000003,1,0,22,1,1
20211117,294238200.48,1,0,22,1,1
20211118,292837605.23,1,0,22,1,1
20211119,265066092.99,1,0,22,1,1
20211120,275125963.63,1,0,22,1,1
20211121,273222429.05,1,0,22,1,1
20211122,288273069.13,1,0,22,1,1
20211123,258537532.68,1,0,22,1,1
20211124,254942223.56,1,0,22,1,1
20211125,241638453.58,1,0,22,1,1
20211126,245725524.39,1,0,22,1,1
20211127,201261094.07999998,1,0,22,1,1
20211128,202690189.09,1,0,22,1,1
20211129,203945283.32,1,0,22,1,1
20211130,201361455.14,1,0,22,1,1
20211201,196777954.82999998,1,0,22,1,1
20211202,198778188.06,1,0,22,1,1
20211203,189925073.22,1,0,22,1,1
20211204,170139681.66,1,0,22,1,1
20211205,147277286.47,1,0,22,1,1
20211206,135831609.16,1,0,22,1,1
20211207,141420442.39999998,1,0,22,1,1
20211208,144624990.57999998,1,0,22,1,1
20211209,149536245.23000002,1,0,22,1,1
20211210,133933017.05000001,1,0,22,1,1
20211211,128446638.38,1,0,22,1,1
20211212,137682629.12,1,0,22,1,1
20211213,140607389.49,1,0,22,1,1
20211214,126810287.44999999,1,0,22,1,1
